Part,Title,Status,Link,Summary
core,The database,published,https://drive.google.com/drive/folders/1TVtgPPk6wIJqkSEZ1HrcY3JE4OHD1TWn,"One row per registrant copy of an Exhibit 10 attachment with its filing, classification and content variables, the announcement, place, term and confidential treatment tables beside it, the codebooks, the contract index, the labelled sample and the keyword terms."
spans,Entity spans,published,https://drive.google.com/drive/folders/1OYP5qXm-alxnOZHFf8U6ttxiC5rua0IG,"The entity spans the rules kept, with their position in the document and the properties the rules read: organisation mentions, places, governing-law clauses, dates, terms and redaction marks."
text,The documents,published,https://drive.google.com/drive/folders/1ZW-uD3YOpIUab9_tT1ImY-gOCQDMV8t5,"The retrieved documents themselves, as filed and as text: Exhibit 10 attachments, the current reports (8-K and 8-K/A) that announced a material agreement, and the confidential treatment orders, split by type and filing year."
models,The classifiers,published,https://drive.google.com/drive/folders/1cSxD2rfEU3xtl4_MtJmINm11TPKmRoVj,"The six fine-tuned models, one archive per task and context length, with the index that maps them to the training runs, the record of which configuration cross-validation selected, and a usage guide."
lexnlp,The extraction image,published,https://drive.google.com/drive/folders/1LzRUbMb9bG-V6fIi3xDmjCaOxsnYEi1G,"The container image that extracted the organisation candidates, with its lockfile, a licence notice and a usage guide."
